Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u1	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u2	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	YbeltjeBerckmoes-Duindam	Berckmoes-Duindam, Ybeltje	F	1967	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u3	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u4	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u5	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u6	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u7	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u8	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u9	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2016-03-17-tweedekamer-10	ParlaMint-NL_2016-03-17-tweedekamer-10.u10	Report of the meeting of the Dutch Lower House, Meeting 66, Session 10 (2016-03-17)	2016-03-17	Lower house	Meeting of the 28th Tweede Kamer	Session 10	Meeting 66	Sitting 2016-03-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
