Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u13	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u14	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u15	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u16	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u17	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u18	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u19	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u20	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u21	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u22	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u23	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u24	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u25	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u26	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-05-26-tweedekamer-7	ParlaMint-NL_2016-05-26-tweedekamer-7.u27	Report of the meeting of the Dutch Lower House, Meeting 88, Session 7 (2016-05-26)	2016-05-26	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 88	Sitting 2016-05-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
