Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	PiaDijkstra	Dijkstra, Pia	F	1954	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u12	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2016-04-21-tweedekamer-4	ParlaMint-NL_2016-04-21-tweedekamer-4.u13	Report of the meeting of the Dutch Lower House, Meeting 80, Session 4 (2016-04-21)	2016-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 80	Sitting 2016-04-21	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
