Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	YaseminÇegerek	Çegerek, Yasemin	F	1977	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2016-03-03-tweedekamer-3	ParlaMint-NL_2016-03-03-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 60, Session 3 (2016-03-03)	2016-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 60	Sitting 2016-03-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
