Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2016-12-22-tweedekamer-37	ParlaMint-NL_2016-12-22-tweedekamer-37.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 37 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 37	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
