Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FoortvanOosten	van Oosten, Foort	M	1977	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-06-29-tweedekamer-9	ParlaMint-NL_2016-06-29-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 102, Session 9 (2016-06-29)	2016-06-29	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 102	Sitting 2016-06-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
