Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u16	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u17	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u18	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u19	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2016-07-07-tweedekamer-3	ParlaMint-NL_2016-07-07-tweedekamer-3.u20	Report of the meeting of the Dutch Lower House, Meeting 106, Session 3 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
