Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u1	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u2	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u3	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u4	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u5	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u6	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u7	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u8	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MichelRog	Rog, Michel	M	1973	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u9	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u10	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MichelRog	Rog, Michel	M	1973	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u11	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u12	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u13	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u14	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u15	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u16	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u17	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u18	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u19	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-12	ParlaMint-NL_2016-06-23-tweedekamer-12.u20	Report of the meeting of the Dutch Lower House, Meeting 100, Session 12 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
