Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u1	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u2	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	Van Vliet	Fractie Van Vliet	-	-	RolandvanVliet	van Vliet, Roland	M	1969	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u3	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	EdGroot	Groot, Ed	M	1957	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u4	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	Van Vliet	Fractie Van Vliet	-	-	RolandvanVliet	van Vliet, Roland	M	1969	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u5	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	ArnoldMerkies	Merkies, Arnold	M	1968	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u6	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	Van Vliet	Fractie Van Vliet	-	-	RolandvanVliet	van Vliet, Roland	M	1969	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u7	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	ArnoldMerkies	Merkies, Arnold	M	1968	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u8	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u9	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	Van Vliet	Fractie Van Vliet	-	-	RolandvanVliet	van Vliet, Roland	M	1969	
ParlaMint-NL-en_2016-09-06-tweedekamer-12	ParlaMint-NL_2016-09-06-tweedekamer-12.u10	Report of the meeting of the Dutch Lower House, Meeting 107, Session 12 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 107	Sitting 2016-09-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
