Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AgnesWolbert	Wolbert, Agnes	F	1958	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2016-05-19-tweedekamer-7	ParlaMint-NL_2016-05-19-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 85, Session 7 (2016-05-19)	2016-05-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 85	Sitting 2016-05-19	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
