Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AlbertdeVries	de Vries, Albert	M	1955	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AlbertdeVries	de Vries, Albert	M	1955	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2016-11-02-tweedekamer-9	ParlaMint-NL_2016-11-02-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 17, Session 9 (2016-11-02)	2016-11-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 17	Sitting 2016-11-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
