Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2016-12-22-tweedekamer-39	ParlaMint-NL_2016-12-22-tweedekamer-39.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 39 (2016-12-22)	2016-12-22	Lower house	Meeting of the 28th Tweede Kamer	Session 39	Meeting 39	Sitting 2016-12-22	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
