Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PaulUlenbelt	Ulenbelt, Paul	M	1952	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PaulUlenbelt	Ulenbelt, Paul	M	1952	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PaulUlenbelt	Ulenbelt, Paul	M	1952	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterHeerma	Heerma, Pieter	M	1977	
ParlaMint-NL-en_2016-11-01-tweedekamer-5	ParlaMint-NL_2016-11-01-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 16, Session 5 (2016-11-01)	2016-11-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 16	Sitting 2016-11-01	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
