Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2016-09-28-tweedekamer-6	ParlaMint-NL_2016-09-28-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 5, Session 6 (2016-09-28)	2016-09-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 5	Sitting 2016-09-28	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
