Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u1	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u2	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnoushkaSchut-Welkzijn	Schut-Welkzijn, Anoushka	F	1969	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u3	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u4	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnoushkaSchut-Welkzijn	Schut-Welkzijn, Anoushka	F	1969	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u5	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u6	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnoushkaSchut-Welkzijn	Schut-Welkzijn, Anoushka	F	1969	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u7	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u8	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnoushkaSchut-Welkzijn	Schut-Welkzijn, Anoushka	F	1969	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u9	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2016-04-26-tweedekamer-32	ParlaMint-NL_2016-04-26-tweedekamer-32.u10	Report of the meeting of the Dutch Lower House, Meeting 81, Session 32 (2016-04-26)	2016-04-26	Lower house	Meeting of the 28th Tweede Kamer	Session 32	Meeting 81	Sitting 2016-04-26	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnoushkaSchut-Welkzijn	Schut-Welkzijn, Anoushka	F	1969	
