Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u1	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u2	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u3	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u4	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	GlennSulvaran	Sulvaran, Glenn	M	-	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u5	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RenéHerdé	Herdé, René	M	-	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u6	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u7	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RenéHerdé	Herdé, René	M	-	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u8	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u9	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RenéHerdé	Herdé, René	M	-	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u10	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u11	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u12	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u13	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u14	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RenéHerdé	Herdé, René	M	-	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u15	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u16	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RenéHerdé	Herdé, René	M	-	
ParlaMint-NL-en_2016-06-07-tweedekamer-35	ParlaMint-NL_2016-06-07-tweedekamer-35.u17	Report of the meeting of the Dutch Lower House, Meeting 92, Session 35 (2016-06-07)	2016-06-07	Lower house	Meeting of the 28th Tweede Kamer	Session 35	Meeting 92	Sitting 2016-06-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
