Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u1	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u2	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u3	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Regular	MP	notMinister	BNG	Galician Nationalist Bloc	Opposition	Left	PradoMaríaMontserrat	Prado Cores, María Montserrat	F	1965	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u4	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u5	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Regular	MP	notMinister	BNG	Galician Nationalist Bloc	Opposition	Left	PradoMaríaMontserrat	Prado Cores, María Montserrat	F	1965	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u6	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u7	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Regular	MP	notMinister	BNG	Galician Nationalist Bloc	Opposition	Left	PradoMaríaMontserrat	Prado Cores, María Montserrat	F	1965	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u8	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u9	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Regular	MP	notMinister	-	-	-	-	MartínezMaríaConsuelo	Martínez García, María Consuelo	F	1961	
ParlaMint-ES-GA-en_2015-02-24-DSPG098	ParlaMint-ES-GA_2015-02-24-DSPG098.u10	Minutes of the Assembly of the Galician Parliament	2015-02-24	Unicameralism	IX Lexislatura	-	Número 098	24.02.2015	-	Reference	English	Chairperson	MP	notMinister	PPdeG	People's Party of Galicia	Coalition	Centre-right to right	RojoPilarMilagros	Rojo Noguera, Pilar Milagros	F	1960	
