Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	KristjanJuliusson	Júlíusson, Kristján Þór	M	1957	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	M	Miðflokkurinn	-	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2018-10-18-22	ParlaMint-IS_2018-10-18-22.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 149-22, 18.10.2018.	2018-10-18	Unicameralism	23. kjörtímabil	149. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	KristjanJuliusson	Júlíusson, Kristján Þór	M	1957	
