Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u1	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u2	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u3	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u4	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HalldoraMogensen	Mogensen, Halldóra	F	1979	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u5	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u6	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HalldoraMogensen	Mogensen, Halldóra	F	1979	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u7	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u8	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	Coalition	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u9	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u10	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u11	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u12	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u13	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u14	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2020-05-07-100	ParlaMint-IS_2020-05-07-100.u15	Speeches in the national parliament of Iceland, 23. term, regular meeting 150-100, 07.05.2020.	2020-05-07	Unicameralism	23. kjörtímabil	150. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	Flf	Flokkur fólksins	-	Centre-left	GudmundurKristinsson	Kristinsson, Guðmundur Ingi	M	1955	
