Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u1	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u2	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u3	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u4	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	RiikkaPurra	Purra, Riikka	F	1977	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u5	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u6	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	AriKoponen	Koponen, Ari	M	1982	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u7	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u8	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	EskoKiviranta	Kiviranta, Esko	M	1950	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u9	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-05-ps-4	ParlaMint-FI_2021-02-05-ps-4.u10	Minutes of the Finnish Parliament's plenary session 4/2021, 2021-02-05	2021-02-05	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 4	2021-02-05	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	TimoHeinonen	Heinonen, Timo	M	1975	
