Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u1	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u2	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u3	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u4	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u5	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u6	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u7	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u8	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	PasiKivisaari	Kivisaari, Pasi	M	1971	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u9	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u10	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	PasiKivisaari	Kivisaari, Pasi	M	1971	
ParlaMint-FI-en_2021-02-19-ps-12	ParlaMint-FI_2021-02-19-ps-12.u11	Minutes of the Finnish Parliament's plenary session 12/2021, 2021-02-19	2021-02-19	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 12	2021-02-19	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
