Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U1	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U2	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U3	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U4	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Regular	notMP	Minister	-	-	-	-	k_michal_19750712	Michal, Kristen	M	1975	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U5	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U6	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U7	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Regular	notMP	Minister	-	-	-	-	k_michal_19750712	Michal, Kristen	M	1975	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U8	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U9	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	a_anvelt_19690930	Anvelt, Andres	M	1969	
ParlaMint-EE-en_2011-11-09	ParlaMint-EE_2011-11-09_U10	XII Parliament term, II Session, information session Wensday, 09.11.2011, 13:00	2011-11-09	Unicameralism	XII Riigikogu	II regular session	-	2011-11-09	-	Reference	English	Regular	notMP	Minister	-	-	-	-	k_michal_19750712	Michal, Kristen	M	1975	
