Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΟΥΤΣΟΥΚΟΣ_ΔΗΜΗΤΡΙΟΥ_ΓΙΑΝΝΗΣ	Koytsoykos, Giannīs	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΟΥΤΣΟΥΚΟΣ_ΔΗΜΗΤΡΙΟΥ_ΓΙΑΝΝΗΣ	Koytsoykos, Giannīs	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΟΥΤΣΟΥΚΟΣ_ΔΗΜΗΤΡΙΟΥ_ΓΙΑΝΝΗΣ	Koytsoykos, Giannīs	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Regular	MP	notMinister	DĪ.SY.	Democratic Alignment	Opposition	Centre-left	ΚΟΥΤΣΟΥΚΟΣ_ΔΗΜΗΤΡΙΟΥ_ΓΙΑΝΝΗΣ	Koytsoykos, Giannīs	M	-	
ParlaMint-GR-en_2018-06-18-S1-commons	ParlaMint-GR_2018-06-18-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 3, sitting 140, 2018-06-18	2018-06-18	Unicameralism	17	3	-	140	-	Reference	English	Chairperson	MP	notMinister	E.K.	Union of Centrists	Opposition	Centre	ΓΕΩΡΓΙΑΔΗΣ_ΝΙΚΟΛΑΟΥ_ΜΑΡΙΟΣ	Geōrgiadīs, Marios	M	-	
