Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Chairperson	MP	notMinister	frCPU	Communist Party Faction	Coalition	Far-left	АдамІвановичМартинюк.1950	Martynjuk, Adam Ivanovyč	M	1950	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Coalition	Centre	ЮрійПавловичСамойленко.1944	Samojlenko, Jurij Pavlovyč	M	1944	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Chairperson	MP	notMinister	frCPU	Communist Party Faction	Coalition	Far-left	АдамІвановичМартинюк.1950	Martynjuk, Adam Ivanovyč	M	1950	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Coalition	Centre	ЮрійПавловичСамойленко.1944	Samojlenko, Jurij Pavlovyč	M	1944	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Chairperson	MP	notMinister	frCPU	Communist Party Faction	Coalition	Far-left	АдамІвановичМартинюк.1950	Martynjuk, Adam Ivanovyč	M	1950	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	Coalition	Far-left	ПетроМиколайовичСимоненко.1952	Symonenko, Petro Mykolajovyč	M	1952	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Chairperson	MP	notMinister	frCPU	Communist Party Faction	Coalition	Far-left	АдамІвановичМартинюк.1950	Martynjuk, Adam Ivanovyč	M	1950	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Coalition	Centre	ВолодимирКостянтиновичБронніков.1943	Bronnikov, Volodymyr Kostjantynovyč	M	1943	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Chairperson	MP	notMinister	frCPU	Communist Party Faction	Coalition	Far-left	АдамІвановичМартинюк.1950	Martynjuk, Adam Ivanovyč	M	1950	
ParlaMint-UA-en_2007-03-22-m0	ParlaMint-UA_2007-03-22-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 3, sitting day 2007-03-22, n0	2007-03-22	Unicameralism	5	3	-	2007-03-22	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	Coalition	Far-left	КатеринаСеменівнаСамойлик.1951	Samojlyk, Kateryna Semenivna	F	1951	
