Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Chairperson	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Coalition	Big tent	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	Opposition	Far-left	ПетроМиколайовичСимоненко.1952	Symonenko, Petro Mykolajovyč	M	1952	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Chairperson	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Coalition	Big tent	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Regular	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	РоманМихайловичЗварич.1953	Zvaryč, Roman Mychajlovyč	M	1953	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Chairperson	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Coalition	Big tent	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Regular	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	РоманМихайловичЗварич.1953	Zvaryč, Roman Mychajlovyč	M	1953	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Chairperson	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Coalition	Big tent	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Regular	MP	Minister	frPR	Party of Regions Faction	Opposition	Centre	НесторІвановичШуфрич.1966	Šufryč, Nestor Ivanovyč	M	1966	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ОленаЛеонідівнаЛукаш.1976	Lukaš, Olena Leonidivna	F	1976	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Chairperson	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Coalition	Big tent	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Regular	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	СергійГригоровичПавленко.1956	Pavlenko, Serhij Hryhorovyč	M	1956	
ParlaMint-UA-en_2007-12-04-m1	ParlaMint-UA_2007-12-04-m1.u12	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 1, sitting day 2007-12-04, n1	2007-12-04	Unicameralism	6	1	-	2007-12-04	-	Reference	English	Regular	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	МихайлоДмитровичСирота.1956	Syrota, Mychajlo Dmytrovyč	M	1956	
