Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u1	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u2	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HawreRahimi	Rahimi, Hawre	M	1978	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u3	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u4	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HawreRahimi	Rahimi, Hawre	M	1978	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u5	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u6	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	Van Haga	Fractie Van Haga	Opposition	Right	WybrenvanHaga	van Haga, Wybren	M	1967	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u7	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	Van Haga	Fractie Van Haga	Opposition	Right	WybrenvanHaga	van Haga, Wybren	M	1967	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u8	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u9	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u10	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u11	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u12	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u13	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u14	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	IngevanDijk	van Dijk, Inge	F	1975	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u15	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	RomkedeJong	de Jong, Romke	M	1984	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u16	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	RomkedeJong	de Jong, Romke	M	1984	
ParlaMint-NL-en_2022-05-31-tweedekamer-32	ParlaMint-NL_2022-05-31-tweedekamer-32.u17	Report of the meeting of the Dutch Lower House, Meeting 85, Session 32 (2022-05-31)	2022-05-31	Lower house	Meeting of the 30th Tweede Kamer	Session 32	Meeting 85	Sitting 2022-05-31	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	RomkedeJong	de Jong, Romke	M	1984	
