Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EvavanEsch	van Esch, Eva	F	1986	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EvavanEsch	van Esch, Eva	F	1986	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	KikiHagen	Hagen, Kiki	F	1987	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EvavanEsch	van Esch, Eva	F	1986	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	KikiHagen	Hagen, Kiki	F	1987	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EvavanEsch	van Esch, Eva	F	1986	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Chairperson	MP	notMinister	D66	Democraten 66	Coalition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EvavanEsch	van Esch, Eva	F	1986	
ParlaMint-NL-en_2022-04-20-tweedekamer-6	ParlaMint-NL_2022-04-20-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 6 (2022-04-20)	2022-04-20	Lower house	Meeting of the 30th Tweede Kamer	Session 6	Meeting 75	Sitting 2022-04-20	-	COVID,War	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	KautharBouchallikht	Bouchallikht, Kauthar	F	1994	
